id,repo,body,url,issue_url,issue_title,created_at,user
2318560972,whatwg/html,Thank you all for attending the meeting today and special thanks to Joey Arhar for taking meeting no,https://github.com/whatwg/html/issues/10574#issuecomment-2318560972,https://github.com/whatwg/html/issues/10574,Upcoming WHATNOT meeting on 2024-08-29,2024-08-29T18:20:31Z,past
2318442286,w3ctag/design-reviews,Question - do we need to have the initial `App-Id` header? Can we only have the second one? The impl,https://github.com/w3ctag/design-reviews/issues/875#issuecomment-2318442286,https://github.com/w3ctag/design-reviews/issues/875,TAG review for web app `scope_extensions`,2024-08-29T17:26:34Z,dmurph
2318413764,whatwg/html,I'm going to go ahead and close this for now. I don't think I'll be able to give it much attention a,https://github.com/whatwg/html/pull/10157#issuecomment-2318413764,https://github.com/whatwg/html/pull/10157,WIP dialog closedby attribute spec,2024-08-29T17:13:49Z,lukewarlow
2318377176,mozilla/standards-positions,The local problem of how a presenter interacts with their capture choice seems a convincing use case,https://github.com/mozilla/standards-positions/issues/1061#issuecomment-2318377176,https://github.com/mozilla/standards-positions/issues/1061,Captured Surface Control,2024-08-29T16:57:33Z,jan-ivar
2318219319,whatwg/html,> Thanks scott!! I created a spec PR here: #10586  thanks Joey.  That looks like it's going in the,https://github.com/whatwg/html/issues/10317#issuecomment-2318219319,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-29T15:55:39Z,scottaohara
2317734029,whatwg/html,"Does anyone know if there's been any development on this, potentially in other places?",https://github.com/whatwg/html/issues/5740#issuecomment-2317734029,https://github.com/whatwg/html/issues/5740,Form input element should have an autocomplete attribute for numeric citizen/personal ID fields,2024-08-29T13:55:08Z,Goldflow
2317708551,w3c/pointerevents,Still waiting for security and privacy reviews. @plehegar I assume we can't proceed without these? o,https://github.com/w3c/pointerevents/issues/482#issuecomment-2317708551,https://github.com/w3c/pointerevents/issues/482,Wide review for Pointer Events 3,2024-08-29T13:46:13Z,patrickhlauke
2317442832,whatwg/html,> It sounds like you're in favor of including alt text in the submitted value. Is that correct?  I,https://github.com/whatwg/html/issues/10317#issuecomment-2317442832,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-29T11:58:22Z,annevk
2317438987,w3ctag/design-reviews,"Sure did, the community was rather interested in solving this issue as well as in the manner suggest",https://github.com/w3ctag/design-reviews/issues/985#issuecomment-2317438987,https://github.com/w3ctag/design-reviews/issues/985,Realms Initialization Control,2024-08-29T11:56:37Z,weizman
2317293228,whatwg/webidl,"It's not your call, it's not called DOM5, and generally any of these being seen as levels or version",https://github.com/whatwg/webidl/issues/1016#issuecomment-2317293228,https://github.com/whatwg/webidl/issues/1016,Move to WHATWG,2024-08-29T10:41:34Z,annevk
2317289801,whatwg/html,Are we also guarding the cloning on the element being connected? I could see synchronously working a,https://github.com/whatwg/html/issues/10520#issuecomment-2317289801,https://github.com/whatwg/html/issues/10520,Timing of cloning for the `<selectedoption>` element,2024-08-29T10:39:50Z,annevk
